,score,turns_taken,execution_time,largest_tile
0,392,134,0.25543144199946255,32
1,456,152,0.33356291499967483,32
2,200,92,0.21088489400062826,16
3,212,96,0.25936223799999425,16
4,228,102,0.23407553800007008,16
5,192,94,0.2270991329996832,16
6,488,158,0.3522317890001432,32
7,392,130,0.33594361999985267,32
8,656,170,0.3391279489997032,64
9,620,168,0.3658104400001321,64
10,312,114,0.2385700220002036,32
11,232,96,0.19573659700017743,16
12,452,136,0.31694279000021197,32
13,280,106,0.30328995900072186,32
14,736,196,0.4850044169998,64
15,228,100,0.289087233999453,16
16,348,120,0.3495229500003916,32
17,372,130,0.3117249010001615,32
18,264,110,0.2051293459999215,16
19,276,106,0.227378652999505,32
20,448,142,0.3017060060001313,32
21,324,118,0.3016418489996795,32
22,476,152,0.31156395800007886,32
23,664,182,0.4281787110003279,64
24,388,132,0.29756903299949045,32
25,452,148,0.3259916349998093,32
26,336,120,0.29952338700059045,32
27,444,144,0.37223290099973383,32
28,360,126,0.31095876000017597,32
29,344,122,0.28064462800011825,32
30,476,152,0.3421100830000796,32
31,416,132,0.28244532799999433,32
32,340,118,0.21963343799961876,32
33,684,190,0.3593581349996384,64
34,368,122,0.3312774719997833,32
35,752,186,0.40621954899961565,64
36,288,108,0.26820122200024343,32
37,448,148,0.3411890709994623,32
38,692,182,0.3975665989992194,64
39,340,116,0.3173847179996301,32
40,420,142,0.34646650700051396,32
41,148,74,0.17885999800000718,16
42,248,104,0.255671658999745,16
43,244,108,0.2911007359998621,16
44,732,194,0.4375481449997096,64
45,276,106,0.24862052099979337,32
46,300,114,0.298790881000059,32
47,376,132,0.3309430159997646,32
48,388,126,0.28183147399977315,32
49,308,116,0.25956231100008154,32
50,268,102,0.2580156669991993,32
51,632,164,0.44718689499950415,64
52,440,148,0.3480238949996419,32
53,424,136,0.3108073220000733,32
54,436,144,0.3726304110005003,32
55,504,154,0.36039240900026925,32
56,608,172,0.4082459299997936,32
57,380,126,0.30183654299980844,32
58,332,122,0.2971436730003916,32
59,300,110,0.2844172830000389,32
60,208,94,0.24159551600041596,16
61,316,116,0.29834497600040777,32
62,432,140,0.349496239000473,32
63,260,98,0.21664831499947468,32
64,460,152,0.3588863909999418,32
65,764,198,0.42738817000008567,64
66,192,88,0.21457452999948146,16
67,516,158,0.3468801090002671,32
68,376,134,0.3133570259997214,32
69,452,146,0.2937369210003453,32
70,620,170,0.36020834099963395,64
71,476,152,0.31119406200014055,32
72,564,170,0.3189685079996707,32
73,272,114,0.22859043500011467,16
74,328,118,0.23212715399949957,32
75,352,130,0.28449725000064063,32
76,324,118,0.23796602099992015,32
77,184,90,0.19318852000014886,16
78,304,114,0.24177866100035317,32
79,328,120,0.23911980600041716,32
80,700,186,0.3832164940004077,64
81,336,122,0.247901574000025,32
82,160,80,0.17062985899974592,16
83,656,196,0.3663731939996069,32
84,692,212,0.3892288209999606,32
85,468,144,0.28773724699931336,32
86,376,136,0.28916773699984333,32
87,280,108,0.24272108400055004,32
88,276,104,0.21340860200052703,32
89,760,198,0.4197236170002725,64
90,436,144,0.30999080400033563,32
