,score,turns_taken,execution_time,largest_tile
0,5640,796,6.32425959999091,512
1,1412,298,2.1921913000114728,128
2,2184,404,3.1330289999896195,128
3,2984,492,3.809013699996285,256
4,2992,490,7.544505900004879,256
5,6324,852,10.858381799975177,512
6,4592,620,9.643868000013754,512
7,5452,758,7.704487200011499,512
8,5260,736,5.652765199978603,512
9,6652,904,5.473999400011962,512
10,5656,798,5.476909700024407,512
11,3068,502,4.116190100001404,256
12,3012,484,3.64362010001787,256
13,5196,706,5.023541000002297,512
14,2400,404,3.196294699999271,256
15,5808,810,4.8004042000102345,512
16,2668,442,3.7106010999996215,256
17,5200,708,9.590344199998071,512
18,6356,898,12.961428700014949,512
19,1896,338,6.5362278999818955,128
20,3100,518,7.808638899994548,256
21,3240,528,8.355148900009226,256
22,5628,792,10.91144379999605,512
23,5504,756,11.190625699993689,512
24,11408,1314,16.790521499991883,1024
25,2836,460,7.678060799982632,256
26,3216,544,8.33688859999529,256
27,6508,900,13.955460299999686,512
28,3080,508,7.959342899994226,256
29,2872,472,7.230460699996911,256
30,2764,452,6.903261500003282,256
31,1528,324,5.557213799998863,128
32,5300,726,10.318680800002767,512
33,7144,972,13.358231199992588,512
34,5080,692,11.022616600006586,512
35,1044,250,3.6621139999770094,64
36,3540,566,9.036214899999322,256
37,3172,522,6.913019100000383,256
38,4064,612,8.936969000002136,256
39,5408,756,10.519427199993515,512
40,7064,964,11.171518399991328,512
41,7172,996,13.76312119999784,512
42,620,164,3.042539600020973,64
43,7004,938,14.949413599999389,512
44,7960,1060,15.844446200004313,512
45,6796,930,14.388837899983628,512
46,3128,518,8.37073659998714,256
47,2996,478,8.246229800017318,256
48,3200,538,8.887115799996536,256
49,1300,264,4.371147199999541,128
50,3256,542,8.320521799993003,256
51,5152,704,9.697416200011503,512
52,2448,416,6.759276700002374,256
53,4692,642,10.641691299999366,512
54,3144,518,8.111160100001143,256
55,3660,600,8.22408740001265,256
56,3152,514,7.3229559999890625,256
57,1460,308,4.11840450001182,128
58,3096,496,4.156731900002342,256
59,5592,774,8.773096899996744,512
60,7072,978,12.636193899990758,512
61,6336,834,11.292147899977863,512
62,2220,382,5.490450699988287,256
63,3092,516,7.484148499992443,256
64,5904,816,11.3542279000103,512
65,4944,680,9.670562199986307,512
66,6100,858,12.608591600001091,512
67,5544,778,11.152869699988514,512
68,6840,918,13.823954399995273,512
69,7152,980,14.073237200005678,512
70,2316,384,5.8183427000185475,256
71,2352,392,5.898617500002729,256
72,2320,386,5.8146111999813,256
73,1980,396,6.034527300012996,128
74,5540,758,10.821167200017953,512
75,3136,514,6.977141599985771,256
76,5412,756,10.392682200006675,512
77,2496,422,6.666977999993833,256
78,3180,524,7.246918699995149,256
79,1536,316,4.813837699999567,128
80,3312,536,7.147310700005619,256
81,7228,990,12.21668040001532,512
82,5532,770,9.642422999982955,512
83,3064,502,7.267682300007436,256
84,7076,966,12.197712200024398,512
85,5756,790,11.513172599981772,512
86,2976,484,7.645483999978751,256
87,5352,738,8.913794299995061,512
88,5392,748,8.594978700013598,512
89,3212,522,4.054000000003725,256
90,3104,500,3.9628827999986243,256
91,7020,952,12.742697700014105,512
92,3040,500,7.767717400012771,256
93,6956,934,11.893534899980295,512
94,2820,450,6.808975099993404,256
95,3176,524,6.6687672000261955,256
96,3216,508,7.296893999999156,256
97,3092,516,7.479622000013478,256
98,11216,1306,16.764875799999572,1024
99,2404,404,5.98659499999485,256
