,score,turns_taken,execution_time,largest_tile
0,1120,244,0.0715152990014758,128
1,1136,242,0.06997108699943055,128
2,712,190,0.05396144599944819,64
3,2920,464,0.12644370300040464,256
4,1268,256,0.0741935639998701,128
5,852,208,0.057839428998704534,64
6,1216,252,0.0709443649975583,128
7,3008,480,0.1342191220028326,256
8,1852,354,0.09809818799840286,128
9,1652,320,0.09065019499757909,128
10,1812,354,0.10531730199727463,128
11,652,180,0.052864533998217667,64
12,3020,484,0.13528124099684646,256
13,1588,338,0.09116484400146874,128
14,1436,296,0.07920016099888016,128
15,2156,360,0.09716296599799534,256
16,584,162,0.0438270909980929,64
17,704,180,0.05042835700078285,64
18,456,144,0.04005986799893435,32
19,740,202,0.057288149000669364,64
20,1460,302,0.07931381999878795,128
21,516,158,0.04456873099843506,32
22,3056,502,0.13616073299999698,256
23,1440,300,0.0794244799981243,128
24,1732,348,0.09796191300119972,128
25,596,164,0.04763400699812337,64
26,708,190,0.0514705400019011,64
27,1452,292,0.07825085000149556,128
28,816,192,0.05377915500139352,64
29,2028,338,0.09061814499727916,256
30,532,140,0.03909042699888232,64
31,784,210,0.06124416300008306,64
32,3072,492,0.14083380100055365,256
33,628,174,0.06424720100039849,64
34,528,164,0.05583357499926933,32
35,1536,314,0.09418912600085605,128
36,724,196,0.05661822399997618,64
37,1704,356,0.09820133399989572,128
38,3064,504,0.140528127001744,256
39,980,242,0.07141436500023701,64
40,776,194,0.05413315999976476,64
41,2020,370,0.10357668500000727,128
42,1356,282,0.07934639499944751,128
43,804,190,0.051068674998532515,64
44,996,234,0.06404148200090276,64
45,716,188,0.05506141200021375,64
46,1356,288,0.08333818200117094,128
47,1460,300,0.07831666099809809,128
48,1508,300,0.08226704200205859,128
49,4404,596,0.16142084099919884,512
50,920,224,0.06338785999832908,64
51,1236,260,0.07341107999673113,128
52,584,160,0.04513448899888317,64
53,960,230,0.06696463900152594,64
54,772,198,0.05622149199916748,64
55,704,188,0.05611041999873123,64
56,1224,262,0.093861655001092,128
57,1012,244,0.08019546699870261,64
58,1540,304,0.1517746450008417,128
59,900,222,0.14375034499971662,64
60,884,220,0.06997805699938908,64
61,1328,276,0.07957044900103938,128
62,1088,230,0.06497991899959743,128
63,1344,278,0.0761166129996127,128
64,1152,252,0.07576988499931758,128
65,1400,288,0.08347376500023529,128
66,1748,356,0.0977481230002013,128
67,492,150,0.042249755999364424,32
68,1068,232,0.06155475500054308,128
69,1432,294,0.08066854899880127,128
70,1596,312,0.08347891800076468,128
71,888,216,0.059417439999378985,64
72,1460,300,0.08521245600059046,128
