,score,turns_taken,execution_time,largest_tile
0,1204,244,0.028016094998747576,128
1,1748,356,0.0412501249993511,128
2,852,214,0.02395059099944774,64
3,1712,320,0.03652259600130492,128
4,1188,260,0.029044499002338853,128
5,580,152,0.01703119999729097,64
6,1348,280,0.031438039000931894,128
7,1460,308,0.03450466600043001,128
8,2904,482,0.053724436002084985,256
9,2332,384,0.04392325599837932,256
10,1140,246,0.03130656199937221,128
11,1500,320,0.03833780400236719,128
12,1352,284,0.03210239300096873,128
13,724,196,0.023323868997977115,64
14,1324,274,0.031105558002309408,128
15,2608,462,0.05578172099922085,256
16,1388,288,0.034223244998429436,128
17,596,160,0.02130013100031647,64
18,1200,244,0.027075562000391074,128
19,1620,340,0.03766576199996052,128
20,1388,282,0.033015554003213765,128
21,1320,264,0.03120703500098898,128
22,956,232,0.02678480699978536,64
23,2380,392,0.047395754998433404,256
24,1064,226,0.02722402899962617,128
25,2872,472,0.056482230000256095,256
26,1280,262,0.03022958700239542,128
27,2048,380,0.04432757300310186,128
28,1128,238,0.027675332999933744,128
29,844,204,0.02431561500270618,64
30,860,216,0.025308934000349836,64
31,600,168,0.019579851999878883,64
32,2804,458,0.05562748299780651,256
33,2804,454,0.05260298299981514,256
34,1340,282,0.033061119000194594,128
35,588,164,0.01807869999902323,64
36,2516,436,0.05142965400227695,256
37,1220,254,0.029387426999164745,128
38,736,194,0.022465483998530544,64
39,2380,392,0.04565609299970674,256
40,2856,470,0.0555174610017275,256
41,3100,506,0.058473148001212394,256
42,1340,282,0.033262253000430064,128
43,1672,338,0.04075843000100576,128
44,2380,392,0.04589955700066639,256
45,864,224,0.023969997000676813,64
46,1024,220,0.02611178799998015,128
47,1576,314,0.03616547500132583,128
48,736,194,0.021788399000797654,64
49,2948,478,0.05398714100010693,256
50,1144,276,0.030685415000334615,64
51,2348,392,0.0466815720028535,256
52,964,228,0.02750673199989251,64
53,1708,342,0.040839949000655906,128
54,1024,214,0.025303125999926124,128
55,956,198,0.022813855997810606,128
56,792,212,0.023674107000260847,64
57,1220,260,0.03044276799846557,128
58,1092,226,0.025068320999707794,128
59,3084,512,0.05871817200022633,256
60,1020,246,0.02976396599842701,64
61,1364,284,0.03391183499843464,128
62,860,210,0.024228961003245786,64
