,score,turns_taken,execution_time,largest_tile
0,7564,1030,0.14713880000635982,512
1,6716,888,0.11681809998117387,512
2,7756,1024,0.1332838999805972,512
3,4688,650,0.08282180002424866,512
4,7072,972,0.13341459998628125,512
5,5200,706,0.08527189999585971,512
6,5260,726,0.10387719998834655,512
7,2576,428,0.058672199957072735,256
8,2284,378,0.05216110002947971,256
9,7120,982,0.13943189999554306,512
10,6596,916,0.12852789997123182,512
11,1476,306,0.041387699951883405,128
12,3276,550,0.07103520003147423,256
13,6288,844,0.09512529999483377,512
14,3344,554,0.07498430000850931,256
15,3128,512,0.069004200049676,256
16,6632,918,0.12556750001385808,512
17,3260,550,0.07580639998195693,256
18,3152,522,0.06412110000383109,256
19,3284,548,0.06891689996700734,256
20,3080,508,0.06291870004497468,256
21,6104,808,0.1105909000034444,512
22,1416,296,0.03761489997850731,128
23,6964,920,0.1379375999676995,512
24,5496,758,0.13779489998705685,512
25,6388,862,0.10149559995625168,512
26,1316,268,0.03785530000459403,128
27,1312,268,0.035000600037164986,128
28,1432,292,0.038473699998576194,128
29,3080,502,0.07582309999270365,256
30,6356,846,0.10693840001476929,512
31,2972,480,0.05444259999785572,256
32,6688,912,0.12848489999305457,512
33,2480,424,0.05956779996631667,256
34,6216,832,0.10492909996537492,512
35,6268,836,0.11061749997315928,512
36,1516,318,0.04161250003380701,128
37,3164,506,0.07021699997130781,256
38,1868,354,0.047751499980222434,128
39,5088,692,0.08586440002545714,512
40,6004,790,0.09567499998956919,512
41,6420,878,0.1118267000420019,512
42,1344,282,0.03768339997623116,128
43,6316,848,0.10173009999562055,512
44,2432,410,0.05158930004108697,256
45,3060,494,0.06776599999284372,256
46,6072,852,0.10685219999868423,512
47,2436,414,0.05201409995788708,256
48,6016,834,0.10990989999845624,512
49,3016,490,0.07263950002379715,256
50,7416,1042,0.13919680000981316,512
51,3380,562,0.07929899997543544,256
52,2896,468,0.07014660001732409,256
53,1356,286,0.037868899991735816,128
54,5300,724,0.09493610000936314,512
55,3428,556,0.08209949999582022,256
56,1048,220,0.038368300010915846,128
57,6420,864,0.1417786999954842,512
58,2356,394,0.05232880002586171,256
59,12000,1398,0.19922469998709857,1024
60,1340,274,0.03687880001962185,128
61,6792,916,0.1305784999858588,512
62,5236,710,0.088035500026308,512
63,5700,804,0.10468230000697076,512
64,2276,368,0.0516471000155434,256
65,4820,654,0.08813270000973716,512
66,3036,510,0.07319050002843142,256
67,1740,352,0.04398999997647479,128
68,6208,810,0.10831229999894276,512
69,2860,472,0.06723760004388168,256
70,5900,810,0.11570780002512038,512
71,3032,486,0.06528390001039952,256
72,5188,694,0.0944067999953404,512
73,2968,502,0.07008209999185055,256
74,6720,894,0.1346237999969162,512
75,6436,874,0.12177120003616437,512
76,3400,572,0.07366320001892745,256
77,2836,474,0.0656343000009656,256
78,5268,716,0.10003700002562255,512
79,3176,526,0.07569510000757873,256
80,3156,518,0.06348229997092858,256
81,3368,556,0.08283299999311566,256
82,4996,698,0.0962009999784641,512
83,5704,800,0.10809019999578595,512
84,2244,380,0.05787940003210679,256
85,6500,886,0.13115069997729734,512
86,5240,722,0.1128374999971129,512
87,3216,524,0.0591736999922432,256
88,6460,866,0.11400229996070266,512
89,6972,950,0.12782110000262037,512
90,7044,956,0.12654680002015084,512
91,3532,576,0.08215190004557371,256
92,2400,404,0.05009419994894415,256
93,2876,498,0.06682260002708063,256
94,5884,802,0.11732079996727407,512
95,6824,918,0.12690200004726648,512
96,1740,352,0.0454911999986507,128
97,3452,566,0.09340479999082163,256
98,1604,320,0.04580259998328984,128
99,5100,690,0.09021700004814193,512
100,5568,772,0.10689509997610003,512
101,6940,958,0.12734399997862056,512
102,6780,918,0.12847539997892454,512
103,2464,418,0.05855000001611188,256
104,3328,546,0.06440689996816218,256
105,1708,342,0.0455649999785237,128
106,3360,546,0.06331299996236339,256
107,2920,474,0.0567721999832429,256
108,6932,930,0.15508860000409186,512
109,3244,530,0.06284950004192069,256
110,6760,908,0.10461590002523735,512
111,2380,396,0.046468099986668676,256
112,2464,418,0.05695009999908507,256
113,2800,460,0.06558130000485107,256
114,3768,608,0.08957050001481548,256
115,4580,620,0.0738738999934867,512
116,5736,814,0.09522330004256219,512
117,2476,430,0.05125419999239966,256
118,3952,654,0.0775186000391841,256
119,5340,728,0.08733549999305978,512
120,6560,904,0.1268605000223033,512
121,5444,762,0.09064280003076419,512
122,6392,864,0.10804920003283769,512
123,1432,296,0.03594560001511127,128
124,3208,534,0.06497690000105649,256
125,1340,272,0.03376269998261705,128
126,2796,454,0.057651599985547364,256
127,4768,658,0.08135010005207732,512
128,3156,508,0.06555659999139607,256
129,3820,622,0.07423929998185486,256
130,2968,478,0.06287460000021383,256
131,2788,460,0.05407260003266856,256
132,6304,842,0.1196141000255011,512
133,5428,762,0.09894100000383332,512
134,928,226,0.025016300030983984,64
135,3072,506,0.06079479999607429,256
136,2500,434,0.053611099952831864,256
137,3220,540,0.07777939998777583,256
138,5272,718,0.0947477999725379,512
139,5300,726,0.09181509999325499,512
140,3388,576,0.06582399999024346,256
141,5308,730,0.08796259999508038,512
142,7160,1004,0.13056560000404716,512
143,2296,376,0.05657820001943037,256
144,5240,716,0.09266540000680834,512
145,5276,724,0.08452789997681975,512
146,6456,884,0.10242979996837676,512
147,1408,292,0.035760600003413856,128
148,5312,728,0.0881713000126183,512
149,1964,382,0.048420500010252,128
150,12296,1484,0.1875986999948509,1024
151,1524,310,0.03784870001254603,128
152,3068,504,0.0669171999907121,256
153,5120,696,0.08848909998778254,512
154,3192,532,0.06299230002332479,256
155,1524,324,0.04204779997235164,128
156,3308,536,0.06441019999329001,256
157,3004,474,0.05511610000394285,256
158,5544,780,0.09736519999569282,512
159,3412,572,0.07974360004300252,256
160,3616,594,0.07473180000670254,256
161,6932,944,0.13256579998414963,512
162,5472,756,0.09501819999422878,512
163,4628,706,0.09083150001242757,256
164,7116,966,0.1433112999657169,512
165,7136,970,0.1342399999848567,512
166,3020,488,0.05983620003098622,256
167,5356,746,0.10181859997101128,512
168,5424,754,0.10961759998463094,512
169,2492,408,0.053757700021378696,256
170,2820,458,0.05177650001132861,256
171,5632,792,0.10611460002837703,512
172,3084,504,0.06545910000568256,256
173,7076,974,0.12254779995419085,512
174,11472,1344,0.16608569998061284,1024
175,3212,536,0.06752049998613074,256
176,2416,412,0.049329200002830476,256
177,6304,864,0.10167200001887977,512
178,1584,310,0.037996500032022595,128
179,3160,532,0.0629649999900721,256
180,2964,484,0.0619785999879241,256
181,2592,428,0.05230229999870062,256
182,3084,504,0.05685699998866767,256
183,2544,434,0.0519958000513725,256
184,6500,898,0.11545310000656173,512
185,1552,308,0.04363630001898855,128
186,2908,478,0.06110619998071343,256
187,3856,586,0.08377479994669557,256
188,3364,554,0.06561809999402612,256
189,3028,492,0.06683409999823198,256
190,2812,452,0.058289900014642626,256
191,6760,940,0.11581290001049638,512
192,2872,468,0.054676199972163886,256
193,3096,516,0.06742989999474958,256
194,6972,952,0.13520499999867752,512
195,3036,488,0.061850300000514835,256
196,3552,570,0.08457309997174889,256
197,2144,402,0.054503000050317496,128
198,3472,554,0.07478060002904385,256
199,2816,450,0.05771480000112206,256
