,score,turns_taken,execution_time,largest_tile
0,352,124,0.04726349998963997,32
1,1516,310,0.13326179998693988,128
2,596,178,0.0805705999955535,32
3,476,148,0.05091849999735132,32
4,892,216,0.08636690001003444,64
5,1324,272,0.13558840000769123,128
6,1216,268,0.1265459000132978,64
7,736,196,0.08987620001425967,64
8,852,208,0.0794787000049837,64
9,1000,216,0.07837990002008155,128
10,1412,300,0.14928409998537973,128
11,720,188,0.07842570001957938,64
12,704,186,0.06980830000247806,64
13,768,190,0.073029899969697,64
14,2040,388,0.16383660002611578,128
15,1344,274,0.12107360002119094,128
16,856,222,0.11118570005055517,64
17,544,168,0.05187869997462258,32
18,344,128,0.03501729998970404,32
19,716,186,0.0844729000236839,64
20,732,192,0.08931950002443045,64
21,796,210,0.07191450003301725,64
22,1184,258,0.12063550000311807,128
23,740,196,0.07730760000413284,64
24,356,126,0.053122000012081116,32
25,1620,328,0.1523147000116296,128
26,688,192,0.06674999999813735,64
27,1564,328,0.1588060000212863,128
28,732,192,0.08211680001113564,64
29,812,202,0.08524970000144094,64
30,924,244,0.113166099996306,64
31,1320,272,0.11665569996694103,128
32,752,196,0.1019100000266917,64
33,1016,240,0.09222799999406561,64
34,1348,282,0.1315589000005275,128
35,924,220,0.096107299963478,64
36,972,238,0.09660910000093281,64
37,512,154,0.050855400040745735,32
38,716,186,0.07984799996484071,64
39,440,144,0.05215830000815913,32
40,968,250,0.0968721000244841,64
41,284,108,0.0436055000172928,32
42,532,144,0.07280329999048263,64
43,1328,278,0.12488880002638325,128
44,2084,388,0.166176299971994,128
45,700,186,0.0822698000119999,64
46,768,200,0.08378240000456572,64
47,1328,276,0.12220409995643422,128
48,1464,310,0.14216059999307618,128
49,820,210,0.08999820001190528,64
50,1144,248,0.11465330002829432,128
51,1208,256,0.11301580001600087,128
52,756,202,0.0797706000157632,64
53,612,168,0.07370050001190975,64
54,804,210,0.08199759997660294,64
55,1416,300,0.11799599998630583,128
56,1232,278,0.08808239997597411,64
57,1348,278,0.09594859997741878,128
58,1404,288,0.10176869999850169,128
59,820,204,0.07776750001357868,64
60,1680,344,0.1073894000146538,128
61,420,136,0.05286550003802404,32
62,1336,274,0.12143420003121719,128
63,544,164,0.050406599999405444,32
64,596,160,0.07296479999786243,64
65,1300,282,0.11320869997143745,128
66,644,168,0.08210130000952631,64
67,1424,304,0.10886689997278154,128
68,1064,248,0.09976770001230761,64
69,552,166,0.07738370000151917,32
70,788,204,0.08444319997215644,64
71,1752,356,0.149106299970299,128
72,672,174,0.0984531000140123,64
73,572,156,0.07087970001157373,64
74,824,198,0.08521320001455024,64
75,560,168,0.05184559995541349,32
76,944,222,0.09212939999997616,64
77,1152,252,0.09335229999851435,128
78,2388,414,0.1635153999668546,256
79,728,194,0.08606440003495663,64
80,1772,360,0.12624529999447986,128
81,420,140,0.05052460002480075,32
82,668,178,0.05794279999099672,64
83,876,230,0.07516579999355599,64
84,736,184,0.05824060004670173,64
85,836,212,0.07634809997398406,64
86,544,148,0.060694599989801645,64
87,632,174,0.07445469999220222,64
88,420,136,0.06937140005175024,32
89,1524,322,0.11355009995168075,128
90,744,200,0.07029549998696893,64
91,1384,288,0.11171750002540648,128
92,2360,398,0.17648899997584522,256
93,1744,354,0.1535404000314884,128
94,944,220,0.09338380000554025,64
95,588,162,0.07186329999240115,64
96,964,230,0.08104189997538924,64
97,1116,248,0.08640299999387935,128
98,1124,240,0.10080219997325912,128
99,576,176,0.0877180999959819,32
100,1404,302,0.0973227999638766,128
101,752,202,0.07084440003382042,64
102,512,156,0.07931410003220662,32
103,996,208,0.11536140000680462,128
104,572,174,0.06931689998600632,32
105,320,116,0.04018700000597164,32
106,780,200,0.06596610002452508,64
107,1168,252,0.08974550000857562,128
108,1320,268,0.10530819999985397,128
109,660,176,0.07379609998315573,64
110,1212,278,0.09609160001855344,64
111,816,210,0.07724800001597032,64
112,1320,270,0.13036379998084158,128
113,1352,278,0.1182303000241518,128
114,2120,402,0.17386260000057518,128
115,984,230,0.11216530000092462,64
116,696,184,0.07072239997796714,64
117,1756,360,0.1874766999972053,128
118,724,196,0.08440009999321774,64
119,664,176,0.06586810003500432,64
120,2188,370,0.19837609998648986,256
121,636,186,0.07002620003186166,32
122,744,198,0.07596330001251772,64
123,704,186,0.07607530005043373,64
124,1400,300,0.14232610003091395,128
125,1712,318,0.11938649998046458,128
126,772,198,0.09364089998416603,64
127,856,220,0.08314490003976971,64
128,1024,218,0.08067630004370585,128
129,716,192,0.08627030003117397,64
130,540,160,0.08251930004917085,32
131,392,128,0.06594699999550357,32
132,1364,274,0.11106150003615767,128
133,1312,290,0.13864730001660064,128
134,924,230,0.08826569997472689,64
135,1216,258,0.0990136000327766,128
136,1284,294,0.10058049997314811,64
137,1216,252,0.12540509999962524,128
138,972,206,0.09555860003456473,128
139,1076,230,0.10849080001935363,128
140,1560,318,0.13294119999045506,128
141,400,134,0.04734029999235645,32
142,1368,284,0.10304890002589673,128
143,636,164,0.05891650001285598,64
144,708,190,0.05915780004579574,64
145,816,210,0.07292659999802709,64
146,1500,298,0.12207199999829754,128
147,1188,254,0.10907870001392439,128
148,1364,284,0.10929270001361147,128
149,1152,244,0.09126319998176768,128
150,884,212,0.08967369998572394,64
151,1532,318,0.1108642999897711,128
152,928,226,0.09554929996374995,64
153,720,194,0.08473809994757175,64
154,1236,266,0.10745609999867156,128
155,744,198,0.09783510002307594,64
156,676,186,0.08134210004936904,64
157,1068,250,0.10304969997378066,64
158,308,112,0.037907699996139854,32
159,1348,284,0.11079850001260638,128
160,1084,254,0.09626769996248186,64
161,932,210,0.0840456000296399,64
162,580,160,0.05823930003680289,64
163,660,176,0.0735933999530971,64
164,1352,280,0.11045919999014586,128
165,2248,370,0.1649370999657549,256
166,736,196,0.09669279999798164,64
167,668,180,0.0755191000062041,64
168,1752,356,0.1578142999787815,128
169,1108,246,0.09597429999848828,128
170,956,240,0.08959170000161976,64
171,1060,258,0.08777609997196123,64
172,288,110,0.04073649999918416,32
173,1448,300,0.1387281000497751,128
174,1576,324,0.12314669997431338,128
175,2420,406,0.16474249999737367,256
176,732,190,0.07845530001213774,64
177,676,188,0.08381059998646379,64
178,704,186,0.0876981999608688,64
179,1336,272,0.09936520003248006,128
180,1200,256,0.09066299995174631,128
181,1456,312,0.09440979995997623,128
182,660,180,0.07955239998409525,64
183,1484,310,0.11450429999968037,128
184,608,170,0.07419640000443906,64
185,568,154,0.06063190003624186,64
186,676,188,0.08365169999888167,64
187,804,206,0.08309059997554868,64
188,772,210,0.089287799957674,64
189,408,138,0.0494444000069052,32
190,504,146,0.06839789997320622,64
191,1388,294,0.11445390002336353,128
192,1460,308,0.11861010000575334,128
193,740,196,0.07843400002457201,64
194,400,134,0.05074320000130683,32
195,1252,268,0.10345480003161356,128
196,752,202,0.09007209999253973,64
197,992,234,0.12382500001695007,64
198,1196,266,0.10360269999364391,64
199,408,134,0.05196860001888126,32
