,score,turns_taken,execution_time,largest_tile
0,3276,522,37.78446185999928,256
1,2796,456,193.18150011399848,256
2,3364,562,38.4933812829986,256
3,5516,768,315.65069696400315,512
4,2976,490,144.39481160599826,256
5,6392,862,318.3115375980051,512
6,5236,702,45.677461859006144,512
7,6380,854,56.93802663300448,512
8,6712,916,300.3086943669987,512
9,2776,454,166.8736571759946,256
10,7136,990,377.4209894250016,512
11,5200,706,314.8637089690019,512
12,3368,556,220.2931525439999,256
13,5456,768,58.152065782000136,512
14,5104,698,45.99677619700378,512
15,3224,520,35.284445908000635,256
16,6488,890,59.55735277799977,512
17,5300,716,291.42992735499865,512
18,3636,602,257.89833692600223,256
19,2424,408,182.20974865999597,256
20,3168,520,38.22488620600052,256
21,3112,518,40.12370483000268,256
22,5104,698,45.958297915,512
23,3268,534,38.59899329500331,256
24,3128,502,35.03079362399876,256
25,6992,954,58.96851752400107,512
26,2952,480,40.17193114899419,256
27,5400,748,48.58408406699891,512
28,3156,516,37.36720134299685,256
29,10700,1268,82.63380942000367,1024
30,3052,496,36.81076089999988,256
31,7180,966,159.62719606800238,512
32,4804,670,48.03664336299698,512
33,3176,538,44.277361397995264,256
34,6764,912,97.48257764899608,512
35,3080,510,39.971540167003695,256
36,5444,762,57.289257366996026,512
37,12132,1426,92.45729305799614,1024
38,6080,818,48.05303027899936,512
39,9724,1112,80.2664451160017,1024
40,6048,842,61.42359414100065,512
41,5348,748,50.16178546499577,512
42,7416,1038,70.69005501899665,512
43,5064,686,51.9517543059992,512
44,6752,896,61.6918544250002,512
45,1412,294,27.2771601669956,128
46,2936,490,236.97389552999812,256
47,5332,730,311.15772461600136,512
48,2904,486,35.655350453998835,256
49,6448,882,156.37115779300075,512
50,3172,524,34.407030028996815,256
51,3660,578,33.029562259995146,256
52,5220,708,43.33893790299771,512
53,2940,480,33.95102693899389,256
54,2728,462,228.48736640000425,256
55,5584,792,57.977392841996334,512
56,7152,988,71.5648495419955,512
57,5320,726,50.10968123899511,512
58,6248,834,65.37810760099819,512
59,7412,1004,65.21770079199632,512
60,3064,500,39.89891170900228,256
61,2964,486,208.2743834790017,256
62,6876,934,82.3698659560032,512
63,1552,322,26.916183069995895,128
64,3180,524,210.37235350100673,256
65,1772,356,27.04986012700101,128
66,3448,580,42.81291493000026,256
67,5460,770,53.368242306001775,512
68,7180,990,166.93316051100555,512
69,3180,526,74.92186046399729,256
70,1756,362,28.988853582995944,128
71,6364,858,191.9309721410027,512
72,1444,298,25.359677284999634,128
73,3068,502,40.44894122900587,256
74,4716,634,49.86983541199879,512
75,6724,942,392.5154083000016,512
76,3332,550,223.79444108100142,256
77,3180,528,157.8387111330012,256
78,5424,750,50.56274621900229,512
79,3116,518,35.55501634599932,256
80,3084,502,36.45776621900586,256
81,6832,914,66.20347127899731,512
82,3192,512,127.94915629499883,256
83,3516,596,40.89165025699913,256
84,7048,956,66.61858052699972,512
85,6436,876,58.3409402469988,512
86,5664,798,61.47122615499393,512
87,5324,744,58.39280249999865,512
88,11332,1318,95.7659929109941,1024
89,7064,950,67.24152919499465,512
90,3124,520,221.17385127500165,256
91,3160,530,38.21524725299969,256
92,10360,1206,81.18066124100005,1024
93,6852,930,353.8415012549958,512
94,7144,982,64.72732465500303,512
95,5208,704,52.753668534998724,512
96,5332,732,56.03946560300392,512
97,1380,278,39.202148862998,128
98,5024,674,55.901674688997446,512
99,3128,510,107.44524364200333,256
100,3360,574,157.24332906900236,256
101,1560,304,113.74393115499697,128
102,2456,422,168.66539394400024,256
103,3096,510,34.50939717300207,256
104,2656,450,133.35049251299642,256
105,3204,530,225.16832946399518,256
106,7148,966,357.0669524469995,512
107,3456,570,39.32381950299896,256
108,7080,966,68.05678200900002,512
109,3152,522,42.236423369002296,256
110,6424,870,70.43855602900294,512
111,6384,874,68.70948186500027,512
112,7284,994,72.71158950000245,512
113,3192,530,37.53116413200041,256
114,3176,526,42.692530730004364,256
115,3184,526,233.58497988100135,256
116,1472,304,25.28481104599632,128
117,6836,924,73.89605954400031,512
118,5368,748,60.893887896003434,512
119,5336,742,58.91982859199925,512
120,3448,544,236.0614238420021,256
121,6616,900,64.52735120199941,512
122,5292,724,51.19755247899593,512
123,5276,716,313.83570461800264,512
124,10192,1178,77.54792674200144,1024
125,5500,774,97.1812510699965,512
126,3696,596,104.25340925100318,256
127,10336,1188,367.46665884899994,1024
128,2804,458,36.97139936900203,256
129,2752,470,34.464462684001774,256
130,6288,844,56.67919660299958,512
131,3044,492,35.21014402999572,256
132,5348,746,47.92899942200165,512
133,5340,730,298.72256945699337,512
134,6100,858,49.36369455700333,512
135,5044,692,41.957947310002055,512
136,7064,964,349.288295266997,512
137,5456,748,46.92225362500176,512
138,5524,764,48.63087860800442,512
139,10360,1206,79.2709400409949,1024
140,6336,858,54.65907148700353,512
141,3104,520,35.751446041002055,256
142,5040,682,176.98930808499426,512
143,5332,732,67.67002979899553,512
144,5152,706,46.783706775997416,512
145,10644,1258,242.66081385099824,1024
146,4904,674,272.13647210499767,512
147,5712,770,53.65032688700012,512
148,12204,1456,88.73708587000147,1024
149,6772,916,54.9964051479983,512
150,5656,766,52.06852641899604,512
151,4612,636,55.72419969099428,512
152,1352,264,19.940735361997213,128
153,6292,836,111.01908791400638,512
154,6504,886,66.42129592000128,512
155,14224,1650,331.89912534299947,1024
156,5288,720,51.874584081997455,512
157,7136,972,62.814685837998695,512
158,3056,490,38.26019169999927,256
159,5492,778,296.59126057899994,512
160,3348,552,39.83418054199865,256
161,3124,516,40.96548769900255,256
162,3008,496,42.55271771300613,256
163,3080,510,33.988723547998234,256
164,6784,944,118.3755109900012,512
165,3308,538,37.00402498499898,256
166,5768,816,281.7646385830012,512
167,3120,520,36.440662182998494,256
168,4984,694,50.264726699002495,512
169,3324,544,40.96373779900023,256
170,3176,526,36.00879102000181,256
171,2552,438,33.73962618899532,256
172,3096,510,36.51349491900328,256
173,3368,556,45.101614824001445,256
174,5296,718,58.907626986998366,512
175,5328,738,55.371193254999525,512
176,6756,908,338.7383587689983,512
177,7100,962,388.3872116950006,512
178,3572,574,197.46945236700412,256
179,1648,336,29.253620393996243,128
180,3000,502,42.80639381200308,256
181,2904,472,37.56472480999946,256
182,6580,912,70.6203762820005,512
183,6496,894,126.58763243499561,512
184,6964,948,74.88805733699701,512
185,3156,528,227.82936706100008,256
186,5288,724,53.138183836999815,512
187,7616,1050,70.93488455300394,512
188,5832,806,51.61300328299694,512
189,3016,502,42.245842066004116,256
190,5332,732,53.05026809899573,512
191,5548,776,247.45632775699778,512
192,7060,962,386.4956218130028,512
193,7064,964,106.40851690199634,512
194,3060,492,34.172134414999164,256
195,7168,984,63.64429067400488,512
196,3172,530,35.94932840200636,256
197,3432,578,40.54752622199885,256
198,6964,934,64.03177978199528,512
199,5416,758,218.92058607099898,512
200,3280,544,38.114943535998464,256
201,5620,772,49.05063206399791,512
202,5340,736,54.06910448200506,512
203,1572,310,25.724191122993943,128
204,7064,964,64.73308004700084,512
205,3072,504,32.89932365799905,256
206,7192,992,65.71634712399828,512
207,2480,426,172.53651158499997,256
208,5552,792,51.61157632299728,512
209,2760,450,32.87013903299521,256
210,4852,662,48.088657239000895,512
211,3040,490,35.80921222700272,256
212,5220,708,54.98748994299967,512
213,7244,984,64.81398033000005,512
214,2400,404,32.48302060599963,256
215,6340,858,344.91880447500444,512
216,5208,702,189.27115026299725,512
217,5348,738,54.5540506920006,512
218,2768,442,189.88505535200238,256
219,5608,790,53.645759674000146,512
220,5556,786,50.906319950998295,512
221,7036,952,62.32226721999905,512
222,5456,768,62.21791474600468,512
223,5352,742,321.7673806120001,512
224,3256,534,39.62987383500149,256
225,7036,952,367.49003233799885,512
226,5124,702,51.963462824998714,512
227,3308,550,40.915369042995735,256
228,1480,310,24.608690489003493,128
229,3104,512,36.84028852600022,256
230,6604,904,60.433382424998854,512
231,3784,614,241.47730465799395,256
232,2948,486,33.43068078199576,256
233,5028,684,47.11461913799576,512
234,6324,836,213.01652987000125,512
235,1808,362,26.091408578999108,128
236,2908,486,31.959975745994598,256
237,2900,484,123.3777561579991,256
238,6772,908,57.72034498199355,512
