,score,turns_taken,execution_time,largest_tile
0,27092,2802,129.61535120000008,2048
1,5316,732,31.92761319999954,512
2,15400,1798,85.51498490000085,1024
3,7120,984,43.68229880000035,512
4,7232,986,43.754604499999914,512
5,15800,1838,85.13493820000076,1024
6,12068,1418,63.3280704000008,1024
7,11368,1320,61.221434000000954,1024
8,15880,1826,83.21104689999993,1024
9,16152,1868,85.1456263,1024
10,26456,2700,128.97060639999836,2048
11,6892,922,40.995674800000415,512
12,7144,974,44.36516620000111,512
13,12276,1478,67.19711259999895,1024
14,14128,1604,72.57792440000048,1024
15,15724,1830,83.16485610000018,1024
16,6704,892,41.17396100000042,512
17,3092,516,23.395751399999426,256
18,26320,2666,125.49027980000028,2048
19,15928,1852,85.86697070000082,1024
20,26948,2788,131.48308359999828,2048
21,12092,1440,68.2269993000009,1024
22,14328,1654,78.25839209999867,1024
23,14232,1614,75.7850099999996,1024
24,15416,1786,84.3802384999999,1024
25,16208,1900,89.25060769999982,1024
26,7152,954,44.148256700000275,512
27,16116,1906,90.41587749999962,1024
28,7236,986,47.17097660000036,512
29,11336,1310,61.859656200000245,1024
30,7120,972,45.90581680000105,512
31,23196,2368,113.14736520000042,2048
32,15760,1824,86.70902960000058,1024
33,2020,336,15.62517040000057,256
34,15080,1740,83.67512549999992,1024
35,14452,1690,81.20869219999986,1024
36,6424,878,40.11649729999954,512
37,12216,1466,69.54328119999991,1024
38,16220,1904,91.56302470000082,1024
39,13676,1558,73.47155139999995,1024
40,14444,1654,77.73040740000033,1024
41,16072,1886,94.26525669999864,1024
42,15340,1778,87.59332850000101,1024
43,13556,1534,73.82609650000086,1024
44,23272,2350,113.72258350000084,2048
45,6292,840,40.433632399999624,512
46,34644,3586,168.61479110000073,2048
47,26472,2734,132.06446010000036,2048
48,15348,1790,85.32605159999912,1024
49,3064,504,23.590808599999946,256
50,27260,2848,134.1030339000008,2048
51,27224,2832,135.8418309000008,2048
52,5396,740,35.33677709999938,512
53,14464,1698,79.67489159999968,1024
54,7124,970,45.37218419999954,512
55,7068,966,45.75104999999894,512
56,11984,1388,66.02223739999863,1024
57,16284,1922,90.26733380000042,1024
58,16072,1890,89.25964870000098,1024
59,7064,970,46.21686430000045,512
60,14332,1656,79.21795360000033,1024
61,15932,1836,88.48779409999952,1024
62,12056,1414,66.21459259999938,1024
63,27220,2824,137.05001750000156,2048
64,12056,1418,66.25826469999993,1024
65,12048,1418,66.09369190000143,1024
66,6328,854,39.61745620000147,512
67,15020,1708,80.68582129999959,1024
68,15440,1816,86.0281028999998,1024
69,16148,1894,89.58212400000048,1024
70,15320,1778,85.4735968999994,1024
71,26380,2714,139.52867340000012,2048
72,12184,1454,70.60738450000099,1024
73,27144,2842,146.62992219999978,2048
74,7140,990,46.789759199999025,512
75,16216,1930,97.80494449999969,1024
76,14376,1668,83.73662730000069,1024
77,7216,1000,48.06649959999959,512
78,12148,1436,73.79154329999983,1024
79,14604,1696,87.87069359999987,1024
80,14296,1646,84.09571619999952,1024
81,16348,1926,99.30068089999986,1024
82,12036,1442,76.09878699999899,1024
83,14216,1596,84.88004519999959,1024
84,16036,1898,101.74209940000037,1024
85,12040,1414,74.41574450000007,1024
86,14460,1694,90.24496099999851,1024
87,12044,1416,76.59425060000103,1024
88,26536,2734,147.40699569999924,2048
89,7384,1026,53.5591629999999,512
90,16000,1856,103.89390459999959,1024
91,15248,1754,94.92795509999996,1024
92,31584,3190,174.92079449999983,2048
93,7196,988,51.46188379999876,512
94,11308,1300,68.6983352999996,1024
95,12080,1418,75.8283749000002,1024
96,27172,2832,152.59140920000027,2048
97,7052,960,51.01713279999967,512
98,7208,1000,52.63835780000045,512
99,16100,1900,100.63464339999882,1024
100,21412,2126,114.31309340000007,2048
101,12420,1498,79.31282509999983,1024
102,7092,970,51.08096469999873,512
103,7044,954,49.911253500000385,512
104,12048,1408,74.90925229999993,1024
105,15708,1798,96.0278455000007,1024
106,14456,1686,90.99656680000044,1024
107,15304,1756,93.77266210000016,1024
108,16084,1890,101.7198169000003,1024
109,14428,1678,88.24674989999949,1024
110,7280,1016,54.8292934000001,512
111,12340,1442,77.14386110000123,1024
112,25048,2506,135.05994950000058,2048
113,16096,1896,101.31776200000058,1024
114,15448,1808,98.39820150000014,1024
115,6732,908,48.36409889999959,512
116,16108,1904,101.30413250000129,1024
117,15396,1792,95.50335070000074,1024
118,12384,1482,81.65867120000075,1024
119,15512,1796,95.74047809999865,1024
120,12152,1460,77.00181210000119,1024
121,12108,1444,77.09210829999938,1024
122,7004,940,50.107861200000116,512
123,15980,1870,102.76197450000109,1024
124,15820,1854,99.02729999999974,1024
125,16024,1872,100.55517169999985,1024
126,15804,1824,97.59804450000047,1024
127,14304,1658,89.19274239999868,1024
128,15296,1762,94.20526869999958,1024
129,15368,1766,94.03771480000069,1024
130,16096,1896,102.71914459999971,1024
131,12108,1430,77.1843759000003,1024
132,16072,1888,104.25427560000026,1024
133,16084,1890,101.54400089999945,1024
134,14336,1658,89.30550269999912,1024
135,7068,972,51.46188000000075,512
136,7024,946,50.86303889999908,512
137,12224,1472,77.36695189999955,1024
138,35892,3698,197.95724940000036,2048
139,12004,1398,74.81186239999988,1024
140,3052,498,26.024262400000225,256
141,15772,1840,100.11315590000049,1024
142,12176,1448,77.2069008999988,1024
143,12096,1440,79.28287450000062,1024
144,32112,3248,174.9004528000005,2048
145,12236,1448,78.6166749999993,1024
146,27028,2796,150.5578998000001,2048
147,14288,1642,87.56039699999928,1024
148,13724,1584,86.94280249999974,1024
149,6308,844,44.65402559999893,512
150,6908,928,48.95607580000069,512
151,16124,1900,101.3951677999994,1024
152,15316,1766,94.90609530000074,1024
153,15304,1766,98.35088629999882,1024
154,5376,752,40.32105230000161,512
155,27224,2830,152.05483989999993,2048
156,25760,2664,142.3861080000006,2048
157,12216,1446,77.95169329999953,1024
158,16068,1880,100.97870390000026,1024
159,27248,2864,153.3316188000008,2048
160,13788,1608,86.61952829999973,1024
