,score,turns_taken,execution_time,largest_tile
0,2196,380,19.980799100001605,256
1,2076,344,27.700252900001942,256
2,1352,280,14.857206000000588,128
3,1304,272,13.965019899998879,128
4,1292,260,13.580176700001175,128
5,1680,338,18.440969600000244,128
6,1324,274,14.554437599999801,128
7,1784,336,18.24681799999962,128
8,1220,246,13.438502199998766,128
9,864,208,11.162855599999602,64
10,2788,454,24.7451473000001,256
11,340,120,5.62862700000187,32
12,2828,452,24.773280099998374,256
13,1128,238,12.730317199999263,128
14,248,94,4.927849499999866,32
15,2556,438,21.97199890000047,256
16,2512,418,22.32480199999918,256
17,2776,448,23.549336899999616,256
18,1420,298,15.928084299997863,128
19,1356,282,14.763507499999832,128
20,2716,464,25.837337699998898,256
21,1476,316,16.556401800000458,128
22,2952,478,25.47579599999881,256
23,2256,380,20.717361499999242,256
24,1716,320,17.25075800000195,128
25,872,216,11.56681540000136,64
26,1368,282,15.545202900000731,128
27,500,152,7.889669399999548,32
28,1604,322,16.680524499999592,128
29,1504,302,16.857529400000203,128
30,2116,352,18.640708099999756,256
31,712,172,9.10447270000077,64
32,2144,366,19.420695599997998,256
33,1232,246,13.120338699998683,128
34,1436,298,23.298050699999294,128
35,2896,484,25.976143500000035,256
36,1432,294,16.070872399999644,128
37,1340,278,15.074270299999625,128
38,1440,288,15.936843899999076,128
39,1764,356,18.482643700001063,128
40,1356,280,14.70473370000036,128
41,2460,428,22.73163530000238,256
42,2452,414,22.191866299999674,256
43,1136,244,12.441345700000966,128
44,1684,318,17.504470899999433,128
45,960,228,12.15047489999779,64
46,680,184,9.828518300000724,64
47,1404,280,15.13948579999851,128
48,3104,524,27.904607000000397,256
49,1244,256,13.785326000001078,128
50,2168,412,21.613030000000435,128
51,3232,542,29.338270000000193,256
52,1100,240,12.925585200002388,128
53,484,144,7.247644799997943,64
54,1740,352,19.03439419999995,128
55,1404,294,15.341131799999857,128
56,3656,582,46.36803350000264,256
57,1380,290,14.956384299999627,128
58,2376,408,21.954891700002918,256
59,1152,250,13.06719399999929,128
60,3160,518,26.908943700000236,256
61,1336,286,15.40493559999959,128
62,1008,232,12.452422399997886,64
63,2508,418,21.998763800002052,256
64,1672,342,18.724828000002162,128
65,1728,352,19.007479399999283,128
66,1308,272,14.620443600000726,128
67,1836,346,18.89933729999757,128
68,1052,228,11.981141000000207,128
69,892,214,10.997905700001866,64
70,688,178,9.453332100001717,64
71,624,160,8.568599099999119,64
72,3148,516,27.612873899997794,256
73,2320,390,21.40394930000184,256
74,1220,262,13.780804299996817,128
75,680,178,9.160906099998101,64
76,1140,244,12.513287599998876,128
77,1528,318,15.844051299998682,128
78,2752,446,23.886419699996623,256
79,1192,260,13.664327999998932,128
80,1572,318,17.181559600001492,128
81,2812,456,24.479412099997717,256
82,1112,240,12.59186950000003,128
83,1380,278,14.926634999999806,128
84,2116,352,18.604151899999124,256
85,808,188,9.701345600002242,64
86,1416,286,14.929696700000932,128
87,1628,330,17.341881000000285,128
88,1440,298,15.37470150000081,128
89,2320,384,19.94832089999909,256
90,2192,360,19.47044249999817,256
91,1024,220,11.414707299998554,128
92,1604,318,16.675300299997616,128
93,2384,396,21.463197400000354,256
94,1600,336,17.357326599998487,128
95,1416,290,15.89112440000099,128
96,628,174,8.920024499999272,64
97,700,188,10.017326299999695,64
98,1256,262,21.03768339999806,128
99,2184,356,19.093075200002204,256
100,548,154,8.053276200000255,64
101,1464,302,15.526225100002193,128
102,1524,312,16.781032800001412,128
103,1588,318,16.779756799998722,128
104,1476,288,15.456681699997716,128
105,2576,430,22.144759500002692,256
106,3792,616,33.32244079999873,256
107,2396,404,21.368996200002584,256
108,1068,226,11.914837199998146,128
109,1752,328,17.463095899998734,128
110,2384,396,20.98600230000011,256
111,1380,290,15.156781300000148,128
112,1696,354,18.409038199999486,128
113,2396,412,21.217297700000927,256
114,1168,230,12.692099399999279,128
115,1340,274,14.869412600000942,128
116,1608,320,16.928684799997427,128
117,1488,302,16.067294100001163,128
118,3100,516,27.15845840000111,256
119,3016,490,38.873997800001234,256
120,2940,466,24.93705730000147,256
121,3068,504,27.516588400001638,256
122,1260,266,14.263594700001704,128
123,2660,430,23.174188699998922,256
124,1856,350,19.14117880000049,128
125,2636,428,22.834660900000017,256
126,2476,426,22.810147199998028,256
127,1592,308,16.34877469999992,128
128,1240,246,13.468017700000928,128
129,912,198,10.523641199997655,128
130,1800,348,18.76170640000055,128
131,3052,500,27.438738299999386,256
132,3152,518,27.915746599999693,256
133,3004,482,25.23514470000009,256
134,700,184,8.975525199999538,64
135,2456,428,23.114838900000905,256
136,448,128,6.621181200000137,64
137,620,170,8.95765129999927,64
138,1324,280,14.939518200000748,128
139,1492,314,16.602188599998044,128
140,3136,508,26.17850680000265,256
141,676,176,9.165397600001597,64
142,1368,274,14.59900159999961,128
143,2416,410,22.143703599998844,256
144,1108,244,12.60859679999703,128
145,2408,408,21.867379700001038,256
146,1276,260,13.950506900000619,128
147,1304,276,14.66986739999993,128
148,2524,424,22.498552199998812,256
149,1320,274,14.567999599999894,128
150,1408,296,23.54751060000126,128
151,1220,268,14.398352899999736,128
152,1472,308,16.13182930000039,128
153,1692,314,16.824043300002813,128
154,2252,378,20.040711400000873,256
155,1628,328,17.323707399998966,128
156,1140,244,12.511577499997657,128
157,1420,288,14.58963809999841,128
158,1516,306,16.08484260000114,128
159,1424,296,15.993286800003261,128
160,4544,606,32.71768570000131,512
161,1752,338,18.56479870000112,128
162,1648,338,18.010768799998914,128
163,2144,346,18.795167800002673,256
164,2528,432,22.30937669999912,256
165,2180,374,19.951286899999104,256
166,1492,300,16.183055200002855,128
167,3872,566,29.599915599999804,256
168,1512,322,16.966386299998703,128
169,2352,396,21.07614249999824,256
170,1420,278,15.286890700001095,128
171,2424,412,22.351108400001976,256
172,3208,520,28.160694000001968,256
173,1056,256,13.27835789999881,64
174,1092,224,17.12274679999973,128
175,584,162,8.517533900001581,64
176,1256,258,13.763211199999205,128
177,1332,272,15.05522209999981,128
178,1360,276,14.542623399996955,128
179,1384,284,14.889192999999068,128
180,5500,762,40.44916000000012,512
181,2308,420,22.59502860000066,128
182,720,194,9.79770020000069,64
183,1684,338,17.531705299999885,128
184,1640,324,16.689222700002574,128
185,1092,238,12.796174099999917,128
186,2356,392,31.847758399999293,256
187,1464,308,16.408815900002082,128
188,1848,358,18.97135889999845,128
189,2648,446,22.84825279999859,256
190,1480,310,16.597761900000478,128
191,708,190,10.1319719000021,64
192,528,156,8.35934140000245,64
193,3144,520,28.43379139999888,256
194,1472,304,16.03492379999807,128
195,588,162,8.627451599997585,64
196,1420,296,16.10001959999863,128
197,3504,562,30.09482630000275,256
198,1716,324,17.260959200000798,128
199,784,202,10.46412120000241,64
200,1492,316,17.10477379999793,128
201,1184,258,13.643180400002166,128
202,1560,318,17.07356399999844,128
203,2908,486,26.30158649999794,256
204,1688,320,17.37175760000173,128
205,3440,568,30.10143230000176,256
206,1432,296,15.56658900000184,128
207,1356,282,15.558295999999245,128
208,920,222,10.741982600000483,64
209,1320,278,15.00882300000012,128
210,5012,680,36.32234950000202,512
211,2468,426,22.24573539999983,256
