,score,turns_taken,execution_time,largest_tile
0,448,144,51.197881200000666,32
1,540,174,51.60825980000027,32
2,628,176,49.503694500000165,64
3,648,194,49.00670759999957,32
4,1024,244,63.35084370000004,64
5,784,208,53.03572249999979,64
6,580,184,40.62688749999961,32
7,308,118,39.343568199999936,32
8,496,160,51.270286099999794,32
9,528,152,53.79050120000011,64
10,916,226,60.03283869999996,64
11,696,182,51.12557429999924,64
12,1084,250,80.37820539999939,64
13,460,152,49.40679309999996,32
14,516,158,46.89708780000001,32
15,680,182,62.79698240000016,64
16,680,190,31.582630799999606,64
17,456,142,44.95542149999983,32
18,872,226,65.56187820000014,64
19,700,188,55.14046419999977,64
20,608,178,50.77662930000042,32
21,748,200,53.554200700000365,64
22,804,204,67.83034540000062,64
23,456,146,47.772520800000166,32
24,704,186,46.83611209999981,64
25,660,174,51.54458439999962,64
26,556,168,48.32594909999989,32
27,800,210,48.77304480000021,64
28,432,146,44.27820400000019,32
29,444,150,40.676923299999544,32
30,816,210,62.15615340000022,64
31,500,162,48.78643899999952,32
32,964,236,55.483934699999736,64
33,1000,236,68.02869339999961,64
34,184,84,37.351214999999684,16
35,360,126,40.19737669999995,32
36,1320,278,71.34783550000066,128
37,456,148,47.96481439999934,32
38,752,212,77.63904679999996,64
39,1088,236,72.72981170000003,128
40,484,148,45.5630000000001,32
41,528,164,54.34259740000016,32
42,768,202,55.19802360000085,64
43,808,206,58.85629080000035,64
44,708,190,50.56171259999974,64
45,880,226,60.42385319999994,64
46,808,212,68.00037400000019,64
47,824,214,64.48639329999969,64
48,504,154,49.52812549999999,32
49,680,188,59.26105819999975,64
50,588,182,49.49075519999951,32
51,636,176,46.630392900000516,64
52,368,128,40.03809430000001,32
53,528,142,45.73810669999966,64
54,752,200,51.34299519999968,64
55,468,146,56.546587899999395,32
56,428,144,50.444579500000145,32
57,1008,242,69.26384589999998,64
58,1204,260,74.61382720000074,128
59,312,120,37.358636699999806,32
60,596,168,53.970922299999984,64
61,580,160,53.139848800000436,64
62,756,202,59.61327419999998,64
63,728,202,56.526968500000294,64
64,360,128,33.95899360000021,32
65,540,166,54.05539839999983,32
66,852,222,54.609579799999665,64
67,592,168,51.49366640000062,64
68,656,180,50.25236129999939,64
69,420,134,42.836181900000156,32
70,272,104,41.39217559999997,32
71,764,216,63.113866900000176,64
72,784,210,65.91870569999992,64
73,476,152,47.10434840000016,32
74,780,212,52.145895100000416,64
75,576,176,44.01308960000006,32
76,688,190,46.87448829999994,64
77,460,152,46.55814179999925,32
78,572,158,49.623357500000566,64
79,148,76,27.79315359999964,16
80,460,150,43.76863980000053,32
81,396,132,45.08582219999971,32
82,260,104,34.25167770000007,32
83,784,204,69.21558410000034,64
84,784,206,51.44256319999931,64
85,976,234,75.48858240000027,64
86,580,160,66.62132610000026,64
87,312,112,40.57126750000043,32
88,748,200,60.94359420000001,64
89,772,202,57.71681450000051,64
90,952,236,58.16458969999985,64
91,308,118,36.640206100000796,32
92,228,98,33.87711080000008,16
93,384,126,47.66800999999941,32
94,504,154,46.6837588999997,32
95,644,174,54.04395769999974,64
96,688,190,55.232395899999574,64
97,452,156,45.67398930000036,32
98,724,194,56.9974443000001,64
99,828,214,63.859915,64
100,524,162,52.17624419999993,32
101,576,176,59.14285430000018,32
102,816,220,58.25123209999947,64
103,632,176,54.7503643,64
104,504,160,55.59061770000062,32
105,780,208,49.843401999999514,64
106,708,188,60.62911600000007,64
107,744,198,63.80811689999973,64
108,1272,278,69.32418030000008,128
109,444,142,40.101952200000596,32
110,716,194,58.14458619999914,64
111,688,188,48.34350549999999,64
112,776,210,43.7303809999994,64
113,688,186,71.33307690000038,64
114,428,138,44.74498500000027,32
115,880,228,48.53289140000015,64
116,1172,264,58.81772389999969,128
117,788,210,60.37167709999994,64
118,628,172,51.024490499999956,64
119,880,224,53.57680749999963,64
120,724,196,54.546563400000196,64
121,368,122,55.29140969999935,32
122,756,210,52.67883600000005,32
123,544,160,45.4255919999996,64
124,868,226,63.44281690000025,64
125,476,140,53.68793529999948,64
126,736,200,64.05618420000064,64
127,700,198,59.28431710000041,64
128,724,194,53.55417380000017,64
129,412,136,38.28206189999946,32
130,428,142,51.345788799999355,32
131,868,226,52.373756400000275,64
132,512,156,50.86822559999928,32
133,488,158,58.28858079999918,32
134,308,112,32.65724490000048,32
135,680,190,52.67007629999989,64
136,1000,250,60.111874200000784,64
137,536,164,54.21772469999996,32
138,680,174,52.3731973999993,64
139,556,166,52.18004490000021,32
140,288,108,35.690311599999404,32
141,572,172,52.489751899999646,32
142,680,188,60.31374180000057,64
143,640,170,63.51559350000025,64
144,512,142,45.25218230000064,64
145,736,192,60.89468300000044,64
146,804,210,53.25931270000001,64
147,436,142,55.52275770000051,32
148,528,144,57.95767660000001,64
149,464,142,46.01525219999985,32
150,640,178,42.549102400000265,64
151,736,194,65.61810629999945,64
152,696,184,57.12760150000031,64
153,760,204,52.477677299999414,64
154,1064,258,70.83805130000019,64
155,496,162,51.46022709999943,32
156,456,148,47.07828270000027,32
157,652,190,52.3260621999998,32
158,1004,240,58.019829500000014,64
159,484,152,48.792961600000126,32
160,584,180,51.24106109999957,32
161,588,162,55.29657499999939,64
162,796,200,55.960359900000185,64
163,804,210,59.13950870000008,64
164,348,120,34.09497670000019,32
165,372,132,41.92501290000018,32
166,420,140,51.18698089999998,32
167,740,196,50.350301800000125,64
168,788,202,54.62644610000007,64
169,360,128,42.3316147000005,32
170,536,170,48.279773999999634,32
171,676,186,51.44654720000017,64
172,404,136,51.67913700000008,32
173,792,212,57.537840300000425,64
174,408,142,42.989822900000036,32
175,956,230,61.47263819999989,64
176,588,162,45.333974000000126,64
177,568,174,56.193905000000086,32
178,952,246,79.13689570000042,64
179,748,200,64.78585430000021,64
180,456,150,45.45161949999965,32
181,556,168,43.14967960000013,32
182,728,192,52.55057920000036,64
183,592,170,49.19508239999959,32
184,440,124,40.67721989999973,64
185,656,180,77.34548129999985,64
186,464,152,45.22688610000023,32
187,716,190,52.26466330000039,64
188,568,174,59.63560260000031,32
189,592,164,50.78577410000071,64
190,656,180,65.98664310000004,64
191,728,196,60.28218519999973,64
192,1240,262,66.92183079999995,128
193,512,148,48.131888800000524,64
194,720,206,46.68780390000029,32
195,396,130,38.143368800000644,32
196,588,162,65.74708829999963,64
197,412,138,42.87116739999965,32
198,596,178,49.78963730000032,32
199,784,208,71.54715370000031,64
200,452,146,48.62137190000067,32
201,728,192,56.93234279999979,64
202,320,118,43.15836219999983,32
203,724,194,46.74941879999915,64
204,748,200,58.325835700000425,64
205,492,158,41.830123200000344,32
206,508,154,42.283893900000294,32
207,696,192,52.594913500000075,64
208,560,152,52.21163249999972,64
209,408,136,48.469795400000294,32
210,616,166,48.991092400000525,64
211,684,182,57.498951300000044,64
212,660,186,51.15278450000005,64
213,884,232,67.33709240000007,64
214,760,206,60.27719530000013,64
215,520,158,39.985231999999996,32
216,744,198,69.18427579999934,64
217,500,144,49.849573299999975,64
218,756,206,47.93148909999945,64
219,252,106,37.886895300000106,16
220,948,230,63.802863400000206,64
221,508,152,45.945674900000085,32
222,544,166,44.948628900000585,32
223,852,218,64.74746039999991,64
224,532,154,54.95995539999967,64
225,396,126,42.54744279999977,32
226,452,148,49.35562740000023,32
227,540,166,56.1322052000005,32
228,956,234,53.10505860000012,64
229,480,136,54.70744300000024,64
230,988,246,54.0010013000001,64
231,860,222,71.72435499999938,64
232,636,176,49.97149039999931,64
233,748,200,61.26850039999954,64
234,572,172,48.75106240000059,32
235,644,174,46.85746349999954,64
236,1124,266,66.45076339999923,64
237,1004,238,69.04705960000047,64
238,244,96,38.43291049999971,32
239,1260,266,75.25653719999991,128
240,404,132,45.95260320000034,32
241,1196,280,71.1026125999997,64
242,412,144,45.54325929999959,32
243,276,104,39.58426589999999,32
244,916,226,62.75166879999961,64
245,472,150,48.87820910000028,32
246,948,244,61.783223700000235,64
247,424,142,40.74810350000007,32
248,284,108,36.66126069999973,32
249,972,232,72.32049670000015,64
250,656,190,49.97750450000058,32
251,320,120,42.048125500000424,32
252,668,176,54.76547959999971,64
253,852,220,60.8536739000001,64
254,452,144,44.06045139999969,32
255,432,140,41.37958500000059,32
256,436,140,48.57529880000038,32
257,356,132,47.29685080000036,32
258,940,230,57.15810390000024,64
259,540,162,53.00671670000065,32
260,952,244,49.799468300000626,64
