,score,turns_taken,execution_time,largest_tile
0,844,204,0.04358000899810577,64
1,656,178,0.04011945200181799,64
2,848,206,0.04463612100153114,64
3,864,204,0.0444113039993681,64
4,404,136,0.029692017000343185,32
5,1200,244,0.05001334199914709,128
6,568,154,0.03539149899734184,64
7,1076,230,0.04768865199730499,128
8,1416,296,0.060990189002041006,128
9,976,226,0.04831243000080576,64
10,1036,226,0.05588552499830257,128
11,576,158,0.04602085299848113,64
12,328,118,0.03022574599890504,32
13,324,114,0.029311210000741994,32
14,1440,298,0.06808369300051709,128
15,696,190,0.043100240000057966,64
16,652,166,0.038038806000258774,64
17,1372,274,0.05377616699843202,128
18,272,100,0.02320725599929574,32
19,1032,224,0.04845806700177491,128
20,544,150,0.03517110900065745,64
21,1220,252,0.04860764899785863,128
22,696,184,0.03616327499912586,64
23,1028,250,0.05251279599906411,64
24,1352,280,0.05499695099933888,128
25,580,160,0.033819775002484675,64
26,396,132,0.02860182700169389,32
27,604,162,0.032150961000297684,64
28,884,222,0.04416836299787974,64
29,588,162,0.034980439999344526,64
30,984,210,0.04519077700024354,128
31,432,146,0.03387004099931801,32
32,600,168,0.034801433997927234,64
33,1408,298,0.06000769400270656,128
34,1056,230,0.048182853002799675,128
35,464,138,0.03356291400268674,64
36,1412,284,0.056258103002619464,128
37,1060,258,0.05199552200065227,64
38,1168,240,0.0561437480027962,128
39,560,150,0.03401297099844669,64
40,1000,238,0.049580484999751206,64
41,1056,228,0.045840094000595855,128
42,696,196,0.04093126199950348,64
43,1388,284,0.05432712100082426,128
44,1232,252,0.05121735499778879,128
45,664,174,0.037710418000642676,64
46,288,110,0.02668629400068312,32
47,984,216,0.051259394000226166,128
48,1020,220,0.04549665900049149,128
49,2352,402,0.07848566099710297,256
50,504,140,0.03172481699948548,64
51,616,170,0.04117468999902485,64
52,676,182,0.03954297900054371,64
53,748,200,0.04429137199986144,64
54,2152,368,0.07664767999813193,256
55,1324,272,0.05605642800219357,128
