,score,turns_taken,execution_time,largest_tile
0,296,112,3.2885244999997667,32
1,620,168,5.429998200001137,64
2,404,134,4.282073099999252,32
3,252,94,2.9127434999973048,32
4,368,132,3.9694808999993256,32
5,680,176,5.621658399999433,64
6,448,140,4.287478000002011,32
7,276,106,3.5248492999999144,32
8,584,160,5.054463199998281,64
9,544,164,5.12567399999898,32
10,712,184,5.634787099999812,64
11,344,126,3.7669256000008318,32
12,580,158,4.981743000000279,64
13,400,136,4.140646400002879,32
14,168,82,2.497840799998812,16
15,548,144,4.502393099999608,64
16,304,112,3.5434658999984094,32
17,324,120,3.504202099997201,32
18,268,102,3.2022058999973524,32
19,432,140,4.035299999999552,32
20,464,148,4.636924499998713,32
21,748,200,6.785690400000021,64
22,324,118,3.589551900000515,32
23,504,158,5.029967899998155,32
24,408,136,4.30286039999919,32
25,380,130,4.083361400000285,32
26,684,186,5.923853399999643,64
27,588,162,5.018524300001445,64
28,460,152,4.657966999999189,32
29,464,142,4.685326800001349,32
30,452,148,4.518544599999586,32
31,200,92,2.681332200001634,16
32,392,130,4.1024915000016335,32
33,680,178,5.5742538000013155,64
34,484,144,4.315217600000324,64
35,596,168,5.284886599998572,64
36,380,136,4.11716449999949,32
37,248,100,2.934603000001516,32
38,432,140,4.248983500001486,32
39,492,150,4.376726599999529,32
40,456,150,4.603369300002669,32
41,384,126,3.8306483999986085,32
42,292,110,3.426006999998208,32
43,360,122,3.6634358999981487,32
44,380,124,3.8055310000017926,32
45,432,140,4.447843299996748,32
46,336,112,3.449279000000388,32
47,368,132,4.146478500002559,32
48,400,132,4.01405270000032,32
49,468,148,4.5379083000007086,32
50,576,160,5.0372896999979275,64
51,288,110,3.1660440000014205,32
52,768,208,6.3417869999975665,64
53,388,128,3.8213247999992745,32
54,436,144,4.699474699998973,32
55,632,176,5.498299800001405,64
56,732,194,5.946283600002062,64
57,512,154,4.637794000002032,32
58,292,110,3.212020899998606,32
59,628,174,5.47415170000022,64
60,396,130,4.181648000001587,32
61,504,152,4.8016415999991295,32
62,436,142,4.413364700001694,32
63,176,82,2.412130900000193,16
64,412,138,4.2472310999983165,32
65,264,98,2.855042199997115,32
66,432,140,4.132150900000852,32
67,320,118,3.528802500000893,32
68,648,182,5.724857499997597,64
69,508,146,4.556915400000435,64
70,600,168,5.142621200000576,64
71,372,122,3.749517400003242,32
72,372,128,3.9408584000011615,32
73,280,106,3.146394400002464,32
74,412,138,4.301677700001164,32
75,288,106,3.2176747000012256,32
76,576,160,5.102911599999061,64
77,492,146,4.9484470000024885,32
78,412,138,4.409175699998741,32
79,284,108,3.133210100000724,32
80,300,108,3.2977854999990086,32
81,264,100,3.0141750999973738,32
82,316,116,3.733556499999395,32
83,372,126,3.7713007000020298,32
84,552,172,6.3665397000004305,32
85,376,124,4.044022500002029,32
86,420,136,4.486739399999351,32
87,356,120,4.164572899997438,32
88,688,182,6.604648900000029,64
89,268,102,3.5635285999996995,32
90,440,144,5.00145220000195,32
91,388,138,4.896324199999071,32
92,268,102,3.3704207000009774,32
93,308,112,4.158238699998037,32
94,448,148,5.47913939999853,32
95,384,132,4.938155100000586,32
96,444,144,5.464301799998793,32
97,612,166,6.194263299999875,64
98,356,130,4.837857200000144,32
99,404,134,4.891430100000434,32
100,396,130,4.565008300000045,32
101,332,122,4.015426899997692,32
102,420,140,4.612031099997694,32
103,400,134,4.40152709999893,32
104,592,164,5.40907739999966,64
105,544,156,5.294712999999319,64
106,452,132,3.9981390999964788,64
107,408,138,4.205550200000289,32
108,820,214,6.636256500001764,64
109,396,130,3.8840726999987965,32
110,344,124,3.8875950000001467,32
111,304,112,3.2431978000022355,32
112,336,122,3.637245999998413,32
113,576,166,5.0600443000003,64
114,348,118,3.5669068999995943,32
115,424,136,3.935687000001053,32
116,712,186,5.9940782000012405,64
117,316,116,3.6440633999991405,32
118,320,110,3.3278683999997156,32
119,340,114,3.432282599998871,32
120,612,166,5.1827917999980855,64
121,592,158,4.898460799999157,64
122,448,146,4.745612099999562,32
123,432,140,4.441185800002131,32
124,336,122,3.8464536999999837,32
125,400,134,4.161568100000295,32
126,416,138,4.074103300001298,32
127,356,128,4.0543637999981,32
128,460,134,4.0058803000029,64
129,272,102,3.3210323000021162,32
130,416,132,4.11062210000091,32
131,644,172,6.118025899999338,64
132,612,172,6.022500299997773,64
133,372,122,3.917696499996964,32
134,644,176,6.508638499999506,64
135,624,172,6.49534770000173,64
136,296,112,4.066638000000239,32
137,396,130,4.735319600000366,32
138,356,126,4.8032576000005065,32
139,416,134,5.18754429999899,32
140,280,106,4.044119199999841,32
141,432,140,5.407462200000737,32
142,316,114,4.204883399997925,32
143,436,144,5.334440499998891,32
144,660,176,6.650232500000129,64
145,692,184,6.825098600002093,64
146,656,180,6.266647799999191,64
147,256,104,3.77955220000149,32
148,316,116,3.475324399998499,32
149,268,100,3.179531300000235,32
150,416,140,4.347367000002123,32
151,276,106,3.2688505000005534,32
152,428,144,4.401024899998447,32
153,80,54,1.5922292999966885,16
154,688,180,5.692545599998994,64
155,384,126,3.7498693999987154,32
156,348,122,3.65048569999999,32
157,372,122,3.5738743000001705,32
158,632,172,5.323854199999914,64
159,268,102,2.992094299999735,32
160,324,120,3.682961600003182,32
161,192,88,2.6367180999986886,16
162,320,116,3.4712131999986013,32
163,524,162,5.666678000001411,32
164,324,118,3.693764600000577,32
