,score,turns_taken,execution_time,largest_tile
0,2092,340,0.013525721999940288,256
1,2932,472,0.019342666999364155,256
2,1800,344,0.013765306000095734,128
3,4160,640,0.02621479899971746,256
4,2392,404,0.01699166799971863,256
5,1640,326,0.013433330000225396,128
6,3252,538,0.02326544700008526,256
7,1424,298,0.011570325999855413,128
8,3144,518,0.02165545200023189,256
9,3132,510,0.02045441500013112,256
10,6012,792,0.03414771899952029,512
11,3172,524,0.022607992000303057,256
12,1392,290,0.011972909000178333,128
13,1400,286,0.011820464999800606,128
14,2408,392,0.01578319400050532,256
15,5112,696,0.029607903999931295,512
16,1272,258,0.009979016999750456,128
17,1360,292,0.01160254300066299,128
18,3032,490,0.01904716799981543,256
19,1692,336,0.014166695999847434,128
20,3256,544,0.023980318999747396,256
21,2432,410,0.016483381999933044,256
22,1108,234,0.009030430000166234,128
23,6376,856,0.03719927300062409,512
24,5784,798,0.03485960600028193,512
25,1244,256,0.01020128000072873,128
26,3076,506,0.021099312999467656,256
27,1660,328,0.012708888999441115,128
28,4892,680,0.030738622999706422,512
29,1452,298,0.012090266999621235,128
30,2848,468,0.018506505000004836,256
31,1356,276,0.01084029699995881,128
32,2604,436,0.01817810099964845,256
33,2728,442,0.018608694999784348,256
34,2740,466,0.019453672000054212,256
35,2652,456,0.01902983999934804,256
36,2896,482,0.02096312600042438,256
37,1576,328,0.014378137999301543,128
38,2880,474,0.020332157000666484,256
39,824,212,0.008243389999734063,64
40,4076,624,0.02591407199997775,256
41,4692,644,0.026928107000458112,512
42,2812,452,0.018550344999312074,256
43,2336,386,0.015476778999982344,256
44,1688,336,0.014002897999489505,128
45,3192,532,0.02254901800006337,256
46,1616,322,0.013621652999972866,128
47,2764,458,0.019879160000527918,256
48,3440,568,0.024415276000581798,256
49,2152,412,0.017594974000530783,128
50,2016,334,0.014089887000409362,256
51,2328,394,0.016032247000111965,256
52,1388,296,0.011666489000162983,128
53,1880,336,0.014330305999465054,128
54,1700,312,0.013185992999751761,128
55,4524,604,0.024967798000034236,512
56,3944,598,0.025191148999510915,256
57,2360,398,0.016322192000188807,256
58,5136,706,0.030080309000368288,512
59,3148,526,0.02151467200019397,256
60,3400,572,0.024136332999660226,256
61,1460,300,0.011660773999210505,128
62,2608,442,0.017587898999408935,256
63,4460,596,0.024556141999710235,512
64,3288,528,0.02256136400046671,256
65,2632,418,0.01693885799977579,256
66,4708,650,0.02688286199918366,512
67,5476,770,0.03213105400027416,512
68,1324,272,0.011821951999991143,128
69,3112,504,0.02048360299977503,256
