,score,turns_taken,execution_time,largest_tile
0,14356,1668,3.2307893999968655,1024
1,7148,972,2.0313867000077153,512
2,4048,670,1.3293693999876268,256
3,16352,1956,3.7027761999925133,1024
4,7568,1066,1.966479700000491,512
5,5620,784,1.8560408000048483,512
6,12036,1434,2.6134539999911794,1024
7,6476,886,1.9547606000123778,512
8,4208,688,1.5369990000035614,256
9,9036,1230,2.261974500012002,512
10,6464,878,1.7491729000030318,512
11,6636,902,1.9936205000121845,512
12,7856,1094,2.0483512000064366,512
13,6308,904,1.9519808999903034,512
14,3348,568,1.2820049000001745,256
15,8172,1162,2.283133999997517,512
16,6504,884,1.8742101000098046,512
17,3432,578,1.272575599999982,256
18,6404,868,1.9085647000028985,512
19,4144,676,1.3753691000019899,256
20,3264,544,1.1328820000053383,256
21,7892,1100,2.263256599995657,512
22,6948,968,2.014545199999702,512
23,5268,762,1.6038247999968007,512
24,3136,528,1.2312478000094416,256
25,3512,584,1.2746028999972623,256
26,12748,1540,3.062766399991233,1024
27,8784,1186,2.2551515999948606,512
28,6836,930,1.8169968000001973,512
29,7032,956,1.7778770000004442,512
30,14704,1734,3.2799358000047505,1024
31,7440,1024,2.20598530001007,512
32,3816,622,1.3482610000064597,256
33,7100,974,1.9457491000066511,512
34,12724,1522,2.9570265999936964,1024
35,13424,1606,3.2576230999984546,1024
36,7464,1006,2.0689037999982247,512
37,12872,1560,2.888936899995315,1024
38,3192,524,1.144592199998442,256
39,3568,598,1.2739360999985365,256
40,7392,1030,2.0979128000035416,512
41,7252,1024,2.172997600006056,512
42,7312,990,2.0979226999916136,512
43,12004,1438,2.803249300006428,1024
44,6772,938,2.0078038000065135,512
45,6748,944,2.0686567000084324,512
46,14412,1662,3.273499399991124,1024
47,5736,824,1.7297025000007125,512
48,7940,1112,2.3448559999960708,512
49,9160,1250,2.453793600012432,512
50,6824,918,2.0127837999898475,512
51,5364,810,1.6429456999903778,256
52,6452,880,1.8670172999991337,512
53,9968,1160,2.4593897000013385,1024
54,13416,1610,3.3050411000003805,1024
55,4256,700,1.4353503999882378,256
56,5336,740,1.722192500004894,512
57,7808,1084,2.211695999998483,512
58,7064,962,1.9847582999937003,512
59,10724,1280,2.586644900002284,1024
60,12456,1492,3.130752199998824,1024
61,5528,780,1.7711484000028577,512
62,7220,1000,2.120957000006456,512
63,5736,824,1.6287413999962155,512
64,6004,876,1.7109097999928053,512
65,6684,926,1.9028423999989172,512
66,7496,1056,2.182349399998202,512
67,4676,652,1.3465889000071911,512
68,3672,612,1.3748017000034451,256
69,8632,1150,2.26342589998967,512
70,15336,1788,3.466932800001814,1024
71,7364,1018,2.0612221999908797,512
72,10600,1256,2.5435312000045087,1024
73,12372,1474,2.8956961000076262,1024
74,7160,988,2.0191023999941535,512
75,12520,1528,3.0187493999983417,1024
76,4056,656,1.427096800005529,256
77,7036,958,2.0356708000035724,512
78,6680,922,2.0042103999876417,512
79,7892,1096,2.1826932999974815,512
80,4832,736,1.4976489000109723,256
81,7380,1024,2.0554563000041526,512
82,7448,1038,2.0316414999979315,512
83,3620,614,1.2606950999906985,256
84,6972,970,1.8353589000034845,512
85,11324,1350,2.835179199988488,1024
86,8080,1086,2.262137099998654,512
87,5592,794,1.491480099997716,512
88,5440,788,1.724053300000378,512
89,12232,1466,2.9348400000017136,1024
90,4160,670,1.427948099997593,256
91,5500,780,1.4532115000038175,512
92,12788,1530,3.0754604999965522,1024
93,8132,1136,2.1341643999912776,512
94,7904,1092,2.1310768999974243,512
95,16720,1990,3.805663499995717,1024
96,7364,1024,2.0572926000022562,512
97,5660,806,1.5746402000077069,512
98,11176,1338,2.5147256999916863,1024
99,3424,568,1.2348784000059823,256
